School,SOS
Abilene Christian Wildcats,-6.86
Air Force Falcons,1.34
Akron Zips,-1.55
Alabama A&M Bulldogs,-11.58
Alabama Crimson Tide,4.47
Alabama State Hornets,-10.17
Alabama-Birmingham Blazers,2.84
Albany (NY) Great Danes,-6.06
Alcorn State Braves,-8.85
American Eagles,-3.67
Appalachian State Mountaineers,-3.44
Arizona State Sun Devils,3.82
Arizona Wildcats,4.96
Arkansas Razorbacks,2.95
Arkansas State Red Wolves,-3.01
Arkansas-Little Rock Trojans,-3.61
Arkansas-Pine Bluff Golden Lions,-8.64
Army Black Knights,-4.65
Auburn Tigers,4.02
Austin Peay Governors,-3.35
Ball State Cardinals,-0.71
Baylor Bears,2.39
Belmont Bruins,-3.35
Bethune-Cookman Wildcats,-10
Binghamton Bearcats,-5.61
Boise State Broncos,-0.72
Boston College Eagles,3.03
Boston University Terriers,-5.48
Bowling Green State Falcons,0.07
Bradley Braves,3.06
Brigham Young Cougars,3.55
Brown Bears,-4.62
Bryant Bulldogs,-4.9
Bucknell Bison,-6.95
Buffalo Bulls,-2.59
Butler Bulldogs,2.97
Cal Poly Mustangs,-1.72
Cal State Bakersfield Roadrunners,-3.18
Cal State Fullerton Titans,-0.26
Cal State Northridge Matadors,-1.82
Campbell Fighting Camels,-7.17
Canisius Golden Griffins,-1.6
Central Arkansas Bears,-5.56
Central Connecticut State Blue Devils,-7.77
Central Florida Knights,-3.04
Central Michigan Chippewas,-0.38
Charleston Southern Buccaneers,-7.28
Charlotte 49ers,2.17
Chattanooga Mocs,-3.72
Chicago State Cougars,-2.3
Cincinnati Bearcats,4.99
Citadel Bulldogs,-5.63
Clemson Tigers,4.09
Cleveland State Vikings,-1.57
Coastal Carolina Chanticleers,-6.55
Colgate Raiders,-5.74
College of Charleston Cougars,-4.34
Colorado Buffaloes,5.94
Colorado State Rams,2.36
Columbia Lions,-5.25
Connecticut Huskies,0.85
Coppin State Eagles,-8.25
Cornell Big Red,-4.58
Creighton Bluejays,3.19
Dartmouth Big Green,-5.19
Davidson Wildcats,-3.13
Dayton Flyers,3.18
Delaware Fightin' Blue Hens,-6.04
Delaware State Hornets,-10.27
Denver Pioneers,-0.54
DePaul Blue Demons,5.87
Detroit Mercy Titans,1.15
Drake Bulldogs,3.05
Drexel Dragons,-4.56
Duke Blue Devils,6.58
Duquesne Dukes,2.03
East Carolina Pirates,-1.27
East Tennessee State Buccaneers,-3.55
Eastern Illinois Panthers,-4.22
Eastern Kentucky Colonels,-2.63
Eastern Michigan Eagles,-0.37
Eastern Washington Eagles,-2.17
Elon Phoenix,-3.78
Evansville Purple Aces,1.05
Fairfield Stags,-2.83
Fairleigh Dickinson Knights,-6.96
Florida A&M Rattlers,-9.12
Florida Atlantic Owls,-3.5
Florida Gators,4.79
Florida Gulf Coast Eagles,-3.79
Florida International Panthers,-3.42
Florida State Seminoles,4.78
Fordham Rams,-0.23
Fresno State Bulldogs,1.74
Furman Paladins,-4.24
Gardner-Webb Runnin' Bulldogs,-4.64
George Mason Patriots,-1.67
George Washington Colonials,-0.13
Georgetown Hoyas,3.77
Georgia Bulldogs,4.79
Georgia Southern Eagles,-5.17
Georgia State Panthers,-4.01
Georgia Tech Yellow Jackets,5.05
Gonzaga Bulldogs,-0.41
Grambling Tigers,-9.37
Grand Canyon Antelopes,-4.66
Green Bay Phoenix,-1.12
Hampton Pirates,-9.11
Hartford Hawks,-5.4
Harvard Crimson,-5.03
Hawaii Warriors,2.07
High Point Panthers,-6.37
Hofstra Pride,-4.44
Holy Cross Crusaders,-3.86
Houston Baptist Huskies,-6.02
Houston Cougars,2.66
Howard Bison,-9.88
Idaho State Bengals,-2.61
Idaho Vandals,-1.02
Illinois Fighting Illini,7.6
Illinois State Redbirds,1.8
Illinois-Chicago Flames,-1.07
Incarnate Word Cardinals,-6.77
Indiana Hoosiers,8.04
Indiana State Sycamores,1.9
Iona Gaels,-3.52
Iowa Hawkeyes,7.29
Iowa State Cyclones,6.26
IPFW Mastodons,-2.24
IUPUI Jaguars,-2.47
Jackson State Tigers,-8.68
Jacksonville Dolphins,-1.96
Jacksonville State Gamecocks,-6.44
James Madison Dukes,-2.21
Kansas Jayhawks,6.99
Kansas State Wildcats,6.2
Kennesaw State Owls,-3.68
Kent State Golden Flashes,-0.34
Kentucky Wildcats,6.65
La Salle Explorers,0.61
Lafayette Leopards,-6.95
Lamar Cardinals,-3.89
Lehigh Mountain Hawks,-7.59
Liberty Flames,-7.04
Lipscomb Bisons,-4.67
Long Beach State 49ers,1.27
Long Island University Blackbirds,-6.37
Longwood Lancers,-5.13
Louisiana Ragin' Cajuns,-1.12
Louisiana State Fighting Tigers,4.33
Louisiana Tech Bulldogs,-1.6
Louisiana-Monroe Warhawks,-4.43
Louisville Cardinals,6.41
Loyola (IL) Ramblers,1.5
Loyola (MD) Greyhounds,-4.69
Loyola Marymount Lions,0.32
Maine Black Bears,-7.42
Manhattan Jaspers,-2.3
Marist Red Foxes,-5.48
Marquette Golden Eagles,4.61
Marshall Thundering Herd,-1.3
Maryland Terrapins,5.15
Maryland-Baltimore County Retrievers,-6.71
Maryland-Eastern Shore Hawks,-9.61
Massachusetts Minutemen,-0.31
Massachusetts-Lowell River Hawks,-5.47
McNeese State Cowboys,-4.68
Memphis Tigers,3.59
Mercer Bears,-5.53
Miami (FL) Hurricanes,3.2
Miami (OH) RedHawks,0.95
Michigan State Spartans,7.58
Michigan Wolverines,7.64
Middle Tennessee Blue Raiders,-2.97
Milwaukee Panthers,-1.31
Minnesota Golden Gophers,7.5
Mississippi Rebels,4.28
Mississippi State Bulldogs,4.22
Mississippi Valley State Delta Devils,-9.06
Missouri State Bears,1.31
Missouri Tigers,6.02
Missouri-Kansas City Kangaroos,-3.27
Monmouth Hawks,-6.22
Montana Grizzlies,-2.63
Montana State Bobcats,-2.63
Morehead State Eagles,-3.5
Morgan State Bears,-8.98
