,school,sos,year
0,abilene-christian,-6.82,2018
1,air-force,1.72,2018
2,akron,-1.92,2018
3,alabama-am,-8.04,2018
4,alabama-birmingham,-0.65,2018
5,alabama-state,-8.62,2018
6,alabama,10.64,2018
7,albany-ny,-5.41,2018
8,alcorn-state,-8.60,2018
9,american,-6.17,2018
10,appalachian-state,-2.65,2018
11,arizona-state,6.56,2018
12,arizona,6.84,2018
13,arkansas-little-rock,-2.21,2018
14,arkansas-pine-bluff,-9.36,2018
15,arkansas-state,-3.02,2018
16,arkansas,9.85,2018
17,army,-7.17,2018
18,auburn,7.29,2018
19,austin-peay,-2.49,2018
20,ball-state,-1.99,2018
21,baylor,9.17,2018
22,belmont,-2.88,2018
23,bethune-cookman,-12.48,2018
24,binghamton,-6.36,2018
25,boise-state,3.05,2018
26,boston-college,7.20,2018
27,boston-university,-5.84,2018
28,bowling-green-state,-2.88,2018
29,bradley,0.36,2018
30,brigham-young,1.53,2018
31,brown,-4.67,2018
32,bryant,-5.43,2018
33,bucknell,-3.46,2018
34,buffalo,0.25,2018
35,butler,10.55,2018
36,cal-poly,-1.83,2018
37,cal-state-bakersfield,-0.73,2018
38,cal-state-fullerton,-1.02,2018
39,cal-state-northridge,-3.55,2018
40,california-davis,-1.84,2018
41,california-irvine,-0.33,2018
42,california-riverside,-1.53,2018
43,california-santa-barbara,-3.36,2018
44,university-of-california,6.06,2018
45,campbell,-6.68,2018
46,canisius,-4.80,2018
47,central-arkansas,-5.97,2018
48,central-connecticut-state,-7.59,2018
49,central-florida,3.75,2018
50,central-michigan,-3.24,2018
51,charleston-southern,-6.15,2018
52,charlotte,0.27,2018
53,chattanooga,-4.05,2018
54,chicago-state,1.17,2018
55,cincinnati,3.53,2018
56,citadel,-2.94,2018
57,clemson,9.25,2018
58,cleveland-state,-3.64,2018
59,coastal-carolina,-2.40,2018
60,colgate,-5.73,2018
61,college-of-charleston,-3.29,2018
62,colorado-state,3.79,2018
63,colorado,7.00,2018
64,columbia,-3.02,2018
65,connecticut,6.05,2018
66,coppin-state,-7.25,2018
67,cornell,-3.24,2018
68,creighton,8.10,2018
69,dartmouth,-4.00,2018
70,davidson,2.57,2018
71,dayton,2.70,2018
72,delaware-state,-9.32,2018
73,delaware,-2.96,2018
74,denver,-2.54,2018
75,depaul,8.45,2018
76,detroit-mercy,-2.07,2018
77,drake,0.59,2018
78,drexel,-2.48,2018
79,duke,9.71,2018
80,duquesne,-3.33,2018
81,east-carolina,-0.22,2018
82,east-tennessee-state,-4.09,2018
83,eastern-illinois,-3.40,2018
84,eastern-kentucky,-3.68,2018
85,eastern-michigan,-2.81,2018
86,eastern-washington,-1.55,2018
87,elon,-1.69,2018
88,evansville,1.35,2018
89,fairfield,-3.68,2018
90,fairleigh-dickinson,-5.66,2018
91,florida-am,-8.34,2018
92,florida-atlantic,-0.14,2018
93,florida-gulf-coast,-5.44,2018
94,florida-international,-1.99,2018
95,florida-state,8.50,2018
96,florida,10.08,2018
97,fordham,1.26,2018
98,fresno-state,1.84,2018
99,furman,-3.64,2018
100,gardner-webb,-3.79,2018
101,george-mason,0.83,2018
102,george-washington,2.13,2018
103,georgetown,5.29,2018
104,georgia-southern,-3.28,2018
105,georgia-state,-2.78,2018
106,georgia-tech,7.47,2018
107,georgia,8.87,2018
108,gonzaga,2.59,2018
109,grambling,-10.30,2018
110,grand-canyon,-4.81,2018
111,green-bay,-4.08,2018
112,hampton,-9.57,2018
113,hartford,-5.26,2018
114,harvard,-1.70,2018
115,hawaii,-2.50,2018
116,high-point,-6.37,2018
117,hofstra,-1.60,2018
118,holy-cross,-5.83,2018
119,houston-baptist,-3.96,2018
120,houston,4.16,2018
121,howard,-9.75,2018
122,idaho-state,-3.70,2018
123,idaho,-3.94,2018
124,illinois-chicago,-4.21,2018
125,illinois-state,3.67,2018
126,illinois,7.53,2018
127,incarnate-word,-5.04,2018
128,indiana-state,2.43,2018
129,indiana,8.25,2018
130,iona,-2.19,2018
131,iowa-state,9.49,2018
132,iowa,7.13,2018
133,ipfw,-3.24,2018
134,iupui,-3.53,2018
135,jackson-state,-10.49,2018
136,jacksonville-state,-4.87,2018
137,jacksonville,-6.12,2018
138,james-madison,-2.15,2018
139,kansas-state,8.74,2018
140,kansas,11.87,2018
141,kennesaw-state,-4.31,2018
